pmid,label,abstract
27017239,breast,"Large breast size is associated with increased risk of late adverse effects after surgery and radiotherapy for early breast cancer. It is hypothesised that effects of radiotherapy on adipose tissue are responsible for some of the effects seen. In this study, the association of breast composition with late effects was investigated along with other breast features such as fibroglandular tissue distribution, seroma and scar.The patient dataset comprised of 18 cases with changes in breast appearance at 2 years follow-up post-radiotherapy and 36 controls with no changes, from patients entered into the FAST-Pilot and UK FAST trials at The Royal Marsden. Breast composition, fibroglandular tissue distribution, seroma and scar were assessed on planning CT scan images and compared using univariate analysis. The association of all features with late-adverse effect was tested using logistic regression (adjusting for confounding factors) and matched analysis was performed using conditional logistic regression.In univariate analyses, no statistically significant differences were found between cases and controls in terms of breast features studied. A statistically significant association (p < 0.05) between amount of seroma and change in photographic breast appearance was found in unmatched and matched logistic regression analyses with odds ratio (95% CI) of 3.44 (1.28-9.21) and 2.57 (1.05-6.25), respectively.A significant association was found between seroma and late-adverse effects after radiotherapy although no significant associations were noted with breast composition in this study. Therefore, the cause for large breast size as a risk factor for late effects after surgery and optimally planned radiotherapy remains unresolved."
27476083,breast,"To evaluate toxicity in breast cancer patients treated with anthracycline and taxane based chemotherapy and whole breast hypofractionated radiotherapy, and to identify the risk factors for toxicity.537 early breast cancer patients receiving hypofractionated radiotherapy after conservative surgery were enrolled from April 2009 to December 2014, in an Italian cancer institute. The dose was 42.4 Gy in 16 daily fractions, 2.65 Gy per fraction. The boost to the tumor bed was administered only in grade III breast cancer patients and in patients with close or positive margins. Acute and late toxicity were prospectively assessed during and after radiotherapy according to RTOG scale. The impact of patients clinical characteristics, performed treatments and dose inhomogeneities on the occurrence of an higher level of acute skin toxicity and late fibrosis has been evaluated by univariate and multivariate analysis.The mean age was 74 (range 46-91 yrs). 27% of patients received boost. 22% of cases (n = 119) received also chemotherapy. The median follow-up was 32 months. G1 and G2/G3 acute skin toxicity were 61.3% and 20.5% and G1 and G2/G3 late fibrosis 12.6% and 4.3% respectively. Chemotherapy (p = 0.04), diabetes (p = 0.04) and boost administration (p < 0.01) were found to be statistically significant on the occurrence of late fibrosis, but a multivariate analysis did not show any factors connected. The boost administration (p < 0.01), the breast volume (p = 0.05), dose inhomogeneities (p < 0.01) and boost volume (p = 0.04) were found to be statistically significant as concerns the occurrence of acute skin reaction at the univariate analysis, but only the boost administration (p = 0.02), at multivariate analysis.The results of our study, according to the large randomized trials, confirmed that hypofractionated whole breast irradiation is safe, and only the boost administration seems to be an important predictor for toxicity. Chemotherapy does not impact on acute and late skin toxicity."
25866351,breast,"The ultimate goal of breast reconstruction is to achieve symmetry with the contra-lateral breast. Contra-lateral procedures with wide parenchymal rearrangements are suspected to impair mammographic surveillance. This study aims to evaluate the impact on mammographic detection of mastopexies and breast reductions for contralateral adjustment in breast reconstruction.We retrospectively evaluated 105 women affected by uni-lateral breast cancer who underwent mastectomy and immediate two-stage reconstruction between 2002 and 2007. We considered three groups according to the contra-lateral reshaping technique: mastopexy or breast reduction with inferior dermoglandular flap (group 1); mastopexy or breast reduction without inferior dermoglandular flap (group 2); no contra-lateral reshaping (group 3). We assessed qualitative mammographic variations and breast density in the three groups.Statistically significant differences have been found when comparing reshaped groups with non reshaped groups regarding parenchymal distortions, skin thickening and stromal edema, but these differences did not affect cancer surveillance. The surveillance mammography diagnostic accuracy in contra-lateral cancer detection was not significantly different between the three groups (p = 0.56), such as the need for MRI for equivocal findings at mammographic contra-lateral breast (p = 0.77) and the need for core-biopsies to confirm mammographic suspect of contra-lateral breast cancer (p = 0.90).This study confirms previous reports regarding the safety of mastopexies and breast reductions when performed in the setting of contra-lateral breast reshaping after breast reconstruction. Mammographic accuracy, sensitivity and specificity are not affected by the glandular re-arrangement. These results provide a further validation of the safety of current reconstructive paradigms."
25935829,breast,"Three-dimensional surface imaging (3D-SI) is being marketed as a tool in aesthetic breast surgery. It has recently also been studied in the objective evaluation of cosmetic outcome of oncological procedures. The aim of this review is to summarise the use of 3D-SI in oncoplastic, reconstructive and aesthetic breast surgery. An extensive literature review was undertaken to identify published studies. Two reviewers independently screened all abstracts and selected relevant articles using specific inclusion criteria. Seventy two articles relating to 3D-SI for breast surgery were identified. These covered endpoints such as image acquisition, calculations and data obtainable, comparison of 3D and 2D imaging and clinical research applications of 3D-SI. The literature provides a favourable view of 3D-SI. However, evidence of its superiority over current methods of clinical decision making, surgical planning, communication and evaluation of outcome is required before it can be accepted into mainstream practice."
28033509,breast,"Atlas-based automatic segmentation (ABAS) addresses the challenges of accuracy and reliability in manual segmentation. We aim to evaluate the contribution of specific-purpose in ABAS of breast cancer (BC) patients with respect to generic-purpose libraries.One generic-purpose and 9 specific-purpose libraries, stratified according to type of surgery and size of thorax circumference, were obtained from the computed tomography of 200 BC patients. Keywords about contralateral breast volume and presence of breast expander/prostheses were recorded. ABAS was validated on 47 independent patients, considering manual segmentation from scratch as reference. Five ABAS datasets were obtained, testing single-ABAS and multi-ABAS with simultaneous truth and performance level estimation (STAPLE). Center of mass distance (CMD), average Hausdorff distance (AHD) and Dice similarity coefficient (DSC) between corresponding ABAS and manual structures were evaluated and statistically significant differences between different surgeries, structures and ABAS strategies were investigated.Statistically significant differences between patients who underwent different surgery were found, with superior results for conservative-surgery group, and between different structures were observed: ABAS of heart, lungs, kidneys and liver was satisfactory (median values: CMD<2 mm, DSC≥0.80, AHD<1.5 mm), whereas chest wall, breast and spinal cord obtained moderate performance (median values: 2 mm ≤ CMD<5 mm, 0.60 ≤ DSC<0.80, 1.5 mm ≤ AHD<4 mm) and esophagus, stomach, brachial plexus and supraclavicular nodes obtained poor performance (median CMD≥5 mm, DSC<0.60, AHD≥4 mm). The application of STAPLE algorithm generally yields higher performance and the use of keywords improves results for breast ABAS.The homogeneity in the selection of atlases based on multiple anatomical and clinical features and the use of specific-purpose libraries can improve ABAS performance with respect to generic-purpose libraries."
26801411,breast,"The current study aims to assess margin status in relation to amount of healthy breast tissue resected in breast-conserving surgery (BCS) on a nationwide scale.Using PALGA (a nationwide network and registry of histology and cytopathology in the Netherlands), all patients who underwent BCS for primary invasive carcinoma in 2012-13 were selected (10,058 excerpts). 9276 pathology excerpts were analyzed for a range of criteria including oncological margin status and distance to closest margin, specimen weight/volume, greatest tumor diameter, and with or without localization method. Calculated resection ratios (CRR) were assessed to determine excess healthy breast tissue resection.Margins for invasive carcinoma and in situ carcinoma combined were tumor-involved in 498 (5.4%) and focally involved in 1021 cases (11.0%) of cases. Unsatisfactory resections including (focally) involved margins and margins ≤ 1 mm were reported in 33.8% of patients. The median lumpectomy volume was 46 cc (range 1-807 cc; SD 49.18) and median CRR 2.32 (range 0.10-104.17; SD 3.23), indicating the excision of 2.3 the optimal resection volume.The unacceptable rate of tumor-involved margins as well as margins ≤ 1 mm in one third of all patients is also achieved at the expense of healthy breast tissue resection, which may carry the drawback of high rates of cosmetic failure. These data clearly suggest the need for improvement in current breast conserving surgical procedures to decrease tumor-involved margin rates while reducing the amount of healthy breast tissue resected."
27060553,breast,"To investigate the radiological features, diagnosis and management of screen-detected lobular neoplasia (LN) of the breast.392 women with pure LN alone were identified within the prospective UK cohort study of screen-detected non-invasive breast neoplasia (the Sloane Project). Demography, radiological features and diagnostic and therapeutic procedures were analysed.Non-pleomorphic LN (369/392) was most frequently diagnosed among women aged 50-54 and in 53.5% was at the first screen. It occurred most commonly on the left (58.0%; p = 0.003), in the upper outer quadrant and confined to one site (single quadrant or retroareolar region). No bilateral cases were found. The predominant radiological feature was microcalcification (most commonly granular) which increased in frequency with increasing breast density. Casting microcalcification as a predominant feature had a significantly higher lesion size compared to granular and punctate patterns (p = 0.034). 326/369 (88.3%) women underwent surgery, including 17 who underwent >1 operation, six who had mastectomy and six who had axillary surgery. Two patients had radiotherapy and 15 had endocrine treatment. Pleomorphic lobular carcinoma in situ (23/392) presented as granular microcalcification in 12; four women had mastectomy and six had radiotherapy.Screen-detected LN occurs in relatively young women and is predominantly non-pleomorphic and unilateral. It is typically associated with granular or punctate microcalcification in the left upper outer quadrant. Management, including surgical resection, is highly variable and requires evidence-based guideline development."
26255741,breast,"There are three main ways in which women can be identified as being at high risk of breast cancer i) family history of breast and/or ovarian cancer, which includes genetic factors ii) mammographically identified high breast density, and iii) certain types of benign breast disease. The last category is the least common, but in some ways the easiest one for which treatment can be offered, because these women have already entered into the treatment system. The highest risk is seen in women with lobular carcinoma in situ (LCIS), but this is very rare. More common is atypical hyperplasia (AH), which carries a 4-5-fold risk of breast cancer as compared to general population. Even more common is hyperplasia of the usual type and carries a roughly two-fold increased risk. Women with aspirated cysts are also at increased risk of subsequent breast cancer. Tamoxifen has been shown to be particularly effective in preventing subsequent breast cancer in women with AH, with a more than 70% reduction in the P1 trial and a 60% reduction in IBIS-I. The aromatase inhibitors (AIs) also are highly effective for AH and LCIS. There are no published data on the effectiveness of tamoxifen or the AIs for breast cancer prevention in women with hyperplasia of the usual type, or for women with aspirated cysts. Improving diagnostic consistency, breast cancer risk prediction and education of physicians and patients regarding therapeutic prevention in women with benign breast disease may strengthen breast cancer prevention efforts."
27017245,breast,"To assess the role of intraoperative specimen radiography (SR) and to define risk factors for positive margins in breast-conserving therapy (BCT) of ductal carcinoma in situ (DCIS).In a retrospective study in calcification-associated DCIS treated with BCT between January 2009 and December 2011, digital mammographs and SR were reviewed and radiological margin width was determined. Clinical, radiological, and histological data were correlated with surgical histological data, and a histologically free margin of at least 2 mm was taken as evidence of successful BCT.47/91 patients (51.6%) fulfilling the inclusion criteria had histologically involved surgical margins. Univariate analyses revealed DCIS size, mammographic extension of calcification, presence of comedo necrosis, negative progesterone receptor status, and a small radiological margin on SR to be risk factors for unsuccessful BCT. Receiver Operating Characteristic (ROC) analysis showed a radiological margin width of 4 mm to be optimal, with a sensitivity of 72.3% and specificity of 52.3%. The likelihood of surgical free margins was increased 2.9-fold with a radiological margin width ≥4 mm. On multivariate logistic regression analysis, only histological DCIS size >20 mm clearly emerged as an independent predictive factor for surgically involved margins (p < 0.001), while an SR margin <4 mm trended toward significance (p = 0.066).SR is a reliable method for predicting free surgical margins in non-invasive breast cancer where a minimum radiological free margin of 4 Fmm is achieved. However, histological DCIS size remains the most important factor determining successful BCT."
27476081,breast,"The increased complexity of the decisional process in breast cancer surgery is well documented. With this study we aimed to create a software tool able to assist patients and surgeons in taking proper decisions.We hypothesized that the endpoints of breast cancer surgery could be addressed combining a set of decisional drivers. We created a decision support system software tool (DSS) and an interactive decision tree. A formal analysis estimated the information gain derived from each feature in the process. We tested the DSS on 52 patients and we analyzed the concordance of decisions obtained by different users and between the DSS suggestions and the actual surgery. We also tested the ability of the system to prevent post breast conservation deformities.The information gain revealed that patients preferences are the root of our decision tree. An observed concordance respectively of 0.98 and 0.88 was reported when the DSS was used twice by an expert operator or by a newly trained operator vs. an expert one. The observed concordance between the DSS suggestion and the actual decision was 0.69. A significantly higher incidence of post breast conservation defects was reported among patients who did not follow the DSS decision (Type III of Fitoussi, N = 4; 33.3%, p = 0.004).The DSS decisions can be reproduced by operators with different experience. The concordance between suggestions and actual decision is quite low, however the DSS is able to prevent post- breast conservation deformities."
28013032,breast,"Malignant phyllodes tumor of the breast (MPTB) accounts for less than 1% of whole breast neoplasm. Surgery is regarded as the primary treatment of choice in patients with MPTB, but the necessity of postoperative radiation therapy (RT) has been a subject of debate. Our aim was to evaluate effects of postoperative RT for MPTB using a large population database.Using the Surveillance, Epidemiology, and End Results Program (SEER) database (1983-2013), clinico-pathologic prognostic factors were evaluated. Postoperative RT, tumor extent, grade, and lymph node (LN) metastasis were included in the analysis. Univariate and multivariate Cox proportional hazards regressions were performed to evaluate prognostic power of variables on cancer specific survival (CSS).A total of 1974 patients with MPTB were reviewed. Of these, 825 (42%) and 1149 (58%) patients underwent mastectomy and breast conserving surgery (BCS), respectively. In each group, 130 (16%) and 122 (11%) patients received postoperative RT. For patients with adverse risk factors including high grade and large tumor size, postoperative RT was more likely to be performed. In multivariate analysis, age, ethnicity, tumor size, tumor extension and LN status were correlated with prognosis in mastectomy group, while postoperative RT did not affect CSS. In BCS group, age and grade were significant prognostic factors on CSS, meanwhile postoperative RT did not impact CSS in multivariate analysis.Although patients with more adverse prognostic factors underwent postoperative RT, RT groups were not inferior to non-RT group on CSS regardless of surgery (mastectomy or BCS)."
27288864,breast,"Breast volume is a key metric in breast surgery and there are a number of different methods which measure it. However, a lack of knowledge regarding a method's accuracy and comparability has made it difficult to establish a clinical standard. We have performed a systematic review of the literature to examine the various techniques for measurement of breast volume and to assess their accuracy and usefulness in clinical practice. Each of the fifteen studies we identified had more than ten live participants and assessed volume measurement accuracy using a gold-standard based on the volume, or mass, of a mastectomy specimen. Many of the studies from this review report large (>200 ml) uncertainty in breast volume and many fail to assess measurement accuracy using appropriate statistical tools. Of the methods assessed, MRI scanning consistently demonstrated the highest accuracy with three studies reporting errors lower than 10% for small (250 ml), medium (500 ml) and large (1000 ml) breasts. However, as a high-cost, non-routine assessment other methods may be more appropriate."
25681318,breast,"Few population-based data are available indicating the breast cancer risk following detection of atypia within a breast screening program.Prospectively collected data from the South Australian screening program were linked with the state cancer registry. Absolute and relative breast cancer risk estimates were calculated for ADH and ALH separately, and by age at diagnosis and time since diagnosis. Post-hoc analysis was undertaken of the effect of family history on breast cancer risk.Women with ADH and ALH had an increase in relative risk for malignancy (ADH HR 2.81 [95% CI 1.72, 4.59] and (ALH HR 4.14 [95% CI 1.97, 8.69], respectively. Differences in risk profile according to time since diagnosis and age at diagnosis were not statistically significant.Estimates of the relative risk of breast cancer are necessary to inform decisions regarding clinical management and/or treatment of women with ADH and ALH."
26392199,breast,"Invasive micropapillary carcinoma (IMPC) of the breast and triple negative breast cancer (TNBC) are both aggressive subtypes, but little information is available on their comparison.Retrospective analysis of 95 IMPC and 200 TNBC-IDC (invasive ductal carcinoma) was conducted to compare the clinicopathologic characteristics and survivals.For IMPC, pN was the independent prognostic factor of local-regional recurrence free survival (LRRFS) (P = 0.045) and metastasis free survival (MFS) (P = 0.048), but not of overall survival (OS) (P = 0.165). For TNBC, pT and lymphovascular invasion (LVI) were both independent prognostic factors of MFS (pT: P = 0.006, LVI: P = 0.010) and OS (pT: P = 0.006, LVI: P = 0.001), but not for LRRFS (pT: P = 0.060, LVI: P = 0.503). IMPC exhibited more aggressive features than TNBC, including larger tumor size, a greater proportion of nodal involvement, and an increased incidence of LVI. After a median follow-up duration of 61 months, 5y-LRRFS rate was lower in IMPC than in TNBC, in entire cohort (71.4 ± 4.8% vs. 89.8 ± 2.2%, P < 0.001) and in node positive cases (64.2 ± 5.9% vs. 81.7 ± 4.4%, P = 0.048). A tendency of lower 5y-MFS rate was observed in TNBC compared with in IMPC, in node positive cases (63.8 ± 5.5% vs. 74.8 ± 5.5%, P = 0.053) and in node negative cases (80.1 ± 3.6% vs. 96.2 ± 3.8%, P = 0.052), but it did not reach significance. 5y-OS was similar between IMPC and TNBC (81.9 ± 4.7% vs. 79.8 ± 3.1%, P = 0.475).IMPC is featured with high rate of lymph node involvement which is strongly associated with high rate of LRR. TNBC is featured with high rate of early distant metastasis without increase of nodal metastases. The survival is still relatively poor even in node negative cases."
27123957,breast,"Breast cancer is the commonest malignancy in women worldwide. The reduced aggressiveness of breast cancer surgery has made it possible treat patients in the day surgery setting. The European Institute of Oncology, Milan, opened its new Day Center in May 2010. From May 2010 to December 2014, 17,087 patients with breast conditions were treated by the Institute's Division of Senology, 4132 (24.2%) of these in the day surgery setting, including malignant and benign conditions; 204 (4.9%) were not discharged on the day of surgery, being converted to inpatients; five (0.1%) patients returned to hospital for persistent hematoma. Our experience of performing breast cancer surgery in the day surgery setting is in line that of the literature. It is safe, but requires a well-organized unit and multidisciplinary medical team to function smoothly, with much attention paid to patient comfort and education, so as to ensure maximum patient acceptance and satisfaction."
25554017,breast,"Physician attributes, job satisfaction and confidence in clinical skills are associated with enhanced performance and better patient outcomes. We surveyed 252 pathologists to evaluate associations between enjoyment of breast pathology, demographic/clinical characteristics and diagnostic performance. Diagnostic performance was determined by comparing pathologist assessments of a set of 60 cases with consensus assessments of the same cases made by a panel of experienced pathologists. Eighty-three percent of study participants reported enjoying breast pathology. Pathologists who enjoy breast interpretation were more likely to review ≥10 cases/week (p = 0.003), report breast interpretation expertise (p = 0.013) and have high levels of confidence interpreting breast pathology (p < 0.001). These pathologists were less likely to report that the field was challenging (p < 0.001) and that breast cases make them more nervous than other types of pathology (p < 0.001). Enjoyment was not associated with diagnostic performance. Millions of women undergo breast biopsy annually, thus it is reassuring that although nearly a fifth of practicing pathologists who interpret breast tissue report not enjoying the field, precision is not impacted."
27017243,breast,"Breast cancer is the commonest form of cancer in women affecting almost a quarter of a million patients in the US annually. 30 percent of these patients and patients with genetic mutations undergo removal of the breast, as highlighted in a high profile celebrity patient. Although breast reconstruction with free microvascular transfer of a DIEAP flap from the abdomen is an ideal form of reconstruction, there have been misgivings about the complexity and potential complications. This study was aimed at clearing these misunderstandings and establishing the value of this form of breast reconstruction.1036 DIEAP flap breast reconstructions carried out at the University Hospital, Gent (five year period) and at the Sana Kliniken, Düsseldorf (three year period) were included prospectively. Comorbid factors like chemotherapy, radiotherapy, patient age >65 years, BMI >30 and smoking were recorded. Outcomes were evaluated over a mean follow up of 2 years.Overall complication rate related to the reconstructed breast and donor abdominal area was 6.8 percent. Total flap loss was seen in only 0.8 percent. The mean operating time was less than five hours. Older age, higher BMI, chemotherapy and radiotherapy did not have a significant influence on complication rates, however smoking resulted in significant delay in wound healing in the breast (p = 0.025) and abdominal wounds (p = 0.019).The DIEAP flap is an excellent option for breast reconstruction, with a low level of donor site morbidity and complications. It is an autologous reconstruction that provides a stable long term result."
